name;description;price;image_url
ΦΑΓΕ Total Γιαούρτι Στραγγιστό 2% 1kg;Πλούσιο, κρεμώδες στραγγιστό γιαούρτι με μόλις 2% λιπαρά. Υψηλή περιεκτικότητα πρωτεΐνης, πλούσιο σε ασβέστιο.;4,88 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/3232626/1.jpg
Φέτα ΘΥΜΕΛΗΣ Μυτιλήνης ΠΟΠ Χωρίς γλουτένη 400g;"Φέτα Π.Ο.Π. Μυτιλήνης από 100% αιγοπρόβειο γάλα.
 Ένα ιδιαίτερα γευστικό και νόστιμο τυρί, πλούσιο σε θρεπτικά συστατικά.";4,65 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1649597/1.jpeg
Φέτα ΚΑΡΑΛΗΣ Ηπείρου ΠΟΠ 400g;Φέτα ΠΟΠ από 100% αγνό παστεριωμένο αιγοπρόβειο γάλα.;3,95 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1584112/1.jpg
Λευκό Τυρί ΡΟΔΟΠΗ 400g;Λευκό τυρί από παστεριωμένο γάλα με ιδιαίτερη γεύση.;2,96 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1108062/2.jpg
Φέτα ΚΑΡΑΛΗΣ Ηπείρου ΠΟΠ 200g;Φέτα ΠΟΠ από 100% αγνό παστεριωμένο αιγοπρόβειο γάλα.;2,32 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/SKLAVENITIS_PL/ΤΥΡΙΑ/5200103211012.jpg
Βαρελίσια Φέτα ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΚΑΛΑΒΡΥΤΩΝ ΠΟΠ;"Τυρί φέτα Π.Ο.Π. (Προστατευόμενη Ονομασία Προέλευσης), που παράγεται από παστεριωμένο αιγοπρόβειο γάλα (συλλεγόμενο από την ευρύτερη περιοχή των Καλαβρύτων), με υψηλή και σταθερή ποιότητα. Ωριμάζει για περίπου τρείς μήνες και διατηρείται σε ξύλινα βαρέλια με άλμη. 
 Έχει πλούσια, πικάντικη και ελαφρώς αλμυρή γεύση. Καταναλώνεται ως επιτραπέζιο τυρί, αλλά χρησιμοποιείται και σε σαλάτες, πίτες, φαγητά. Συνοδεύεται με έντονα λευκά και κόκκινα κρασιά και ρετσίνα.";6,15 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1221896/1.jpg
Φέτα ΗΠΕΙΡΟΣ ΠΟΠ σε Άλμη Χωρίς λακτόζη 400g;"Τυρί φέτα ΠΟΠ από παστεριωμένο αιγοπρόβειο γάλα σε άλμη. 
 Καταναλώνεται σκέτη, συνοδεύει υπέροχα τη χωριάτικη σαλάτα, ενώ δίνει και ξεχωριστή γεύση στα φαγητά.";5,38 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1514363/1.jpg
Λευκό Τυρί ΡΟΔΟΠΗ 900g;Λευκό τυρί από παστεριωμένο αγελαδινό γάλα.;5,30 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/35/files/ProductMedia/Products/1006500/1.jpg
Αυγά Αχυρώνα ΒΛΑΧΑΚΗ Διάφορα Μεγέθη 6τεμ 320g;Τα αυγά Αχυρώνα παράγονται από κότες που ζουν και κινούνται ελεύθερες σε ειδικά διαμορφωμένους αχυρώνες. Προτιμώνται για τη νοστιμιά τους και τον παραδοσιακό τρόπο παραγωγής τους.;2,65 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1174584/1.jpg
Αυγά Ελευθέρας Βοσκής ΧΡΥΣΑ ΑΥΓΑ με Ω3 Μεσαία 6τεμ 53-63g;Φρέσκα αυγά ελευθέρας βοσκής με ωμέγα 3 και λιγότερη χοληστερόλη.;3,70 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1209262/1_v1.jpg
Αυγά ΤΣΑΟΥΣΗ Μεσαία 30τεμ 53-63g;"Μεσαία αυγά (MEDIUM) μεγέθους (53-63g), 
Κατηγορία Α.";6,00 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1223800/1.jpg
Αυγά Αχυρώνα ΤΣΑΟΥΣΗ Διάφορα Μεγέθη 6τεμ 318g;"Αυγά αχυρώνα διαφόρων μεγεθών.

 Ελάχιστο καθαρό βάρος 318g.";1,90 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1451968/1.jpg
Αυγά ΧΡΥΣΑ ΑΥΓΑ Μεγάλα 6τεμ 63-73g;"Έξι ολόφρεσκα και διαλεχτά αυγά κλωβοστοιχίας.

 Μέγεθος: Large.";1,95 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/5163068/1_v1.jpg
PRESIDENT Βούτυρο Ανάλατο 60% 200g;Βούτυρο ανάλατο με 60% λιπαρά. Μειωμένη περιεκτικότητα σε λιπαρά.;2,76 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/35/files/ProductMedia/Products/1615757/1.jpg
ΚΑΡΑΛΗΣ Βούτυρο Αιγοπρόβειο Λιωμένο 300g;Γαλακτοκομικό προϊόν από παστεριωμένο αιγοπρόβειο γάλα, το οποίο έχει προκύψει μετά από θερμική επεξεργασία.;6,20 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1222817/1.jpg
ΔΙΒΑΝΗΣ Βούτυρο Γάλακτος Λιωμένο 500g;Το ιδανικό βούτυρο για ζαχαροπλαστική και μαγειρική, αρωματικό και εύγεστο. Μια επιλογή, πολλές χρήσεις, απίστευτη γεύση.;8,44 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1297635/1.jpg
MILBA Ghee Βούτυρο Γάλακτος Αγελάδος 300g;Παραδοσιακό βούτυρο γάλακτος.;5,48 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/41/files/ProductMedia/Products/1514079/1.jpg
ΜΑΡΑΤΑ Βούτυρο Αγελάδος 250g;"Βούτυρο ανάλατο με 82% λιπαρά.

 Παστεριωμένο.";2,85 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1629284/1.jpg
LURPAK Βούτυρο Ανάλατo 250g;Φρέσκο βούτυρο Lurpac. Η εκλεπτυσμένη γεύση του και το μοναδικό του άρωμα ξεδιπλώνονται στη διάρκεια του μαγειρέματος ή του ψησίματος.;4,49 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/41/files/ProductMedia/Products/9241027/1.jpg
Ψωμί Διπλοζυμωτό Σταρένιο ΚΑΤΣΕΛΗΣ με Προζύμι σε φέτες 500g;Ψωμί σε φέτες προζυμένιο σταρένιο με ελαιόλαδο.;1,68 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1524239/1.jpg
Ψωμί Προζυμένιο ΒΟΣΙΝΑΚΗ Φουρνίσματα Σταρένιο σε φέτες 500g;"Ψωμί σίτου με αλεύρι από σκληρό σιτάρι κατηγορίας Μ, σε φέτες. Παστεριωμένο. 
Ζυμωμένο με φυσικά προζύμια και επιλεγμένα άλευρα από εκλεκτά σιτηρά, συνδυάζει τη γεμάτη και χορταστική γεύση με την ευκολία του συσκευασμένου ψωμιού.
Μαλακό και αφράτο, συνοδεύει ιδανικά το φαγητό και ταιριάζει σε κάθε ιδέα για σνακ.

 Χωρίς συντηρητικά.";1,70 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/1/files/ProductMedia/Products/1584223/1.jpg
Ψωμί Διπλοζυμωτό Ολικής Άλεσης ΚΑΤΣΕΛΗΣ με Προζύμι σε φέτες 500g;Ψωμί σε φέτες προζυμένιο με αλεύρι ολικής άλεσης πετρόμυλου από σκληρό και μαλακό σιτάρι και ελαιόλαδο, παστεριωμένο.;1,72 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1524240/1.jpg
Μαϊντανός Εγχώριος 100g;Ο μαϊντανός είναι ένα από τα πιο δημοφιλή μυρωδικά. Προσθέτει εξαιρετική γεύση στο φαγητό μας, ενώ αποτελεί πλούσια πηγή μετάλλων και βιταμινών (Α, Β & C).;0,65 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/ΜΑΝΑΒΙΚΗ/ΛΑΧΑΝΙΚΑ/19044.jpg
Δυόσμος Εγχώριος 50g;Ο δυόσμος είναι εξαιρετικά μυρωδάτος και προσθέτει ξεχωριστή γεύση στα φαγητά μας. Περιέχει μέταλλα (ασβέστιο, κάλιο, μαγγάνιο, σίδηρο και μαγνήσιο) και βιταμίνες (Α, Β & C).;0,87 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1223326/1.jpg
Μαϊντανός Βιολογικός Εγχώριος;Ο μαϊντανός είναι ένα από τα πιο δημοφιλή μυρωδικά. Προσθέτει εξαιρετική γεύση στο φαγητό μας, ενώ αποτελεί πλούσια πηγή μετάλλων και βιταμινών (Α, Β & C).;1,20 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1223332/1.jpg
Κρεμμύδια Ξερά Κόκκινα Εγχώρια;Τα κρεμμύδια, ωμά ή μαγειρεμένα, δίνουν άρωμα και μοναδική γεύση σε κάθε πιάτο μας. Περιέχουν αιθέρια έλαια, πλούσια σε θειούχες ενώσεις και άλλες ουσίες, με ευεργετικές επιδράσεις στον οργανισμό. Στις ουσίες αυτές οφείλεται η έντονη οσμή και η χαρακτηριστική γεύση τους.;0,48 €/0,5 κιλό;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/VASILIKI5/NOVEMBER/20004.jpg
Κρεμμυδάκια Φρέσκα Εγχώρια;Τα κρεμμύδια, ωμά ή μαγειρεμένα, δίνουν άρωμα και μοναδική γεύση σε κάθε πιάτο μας. Περιέχουν αιθέρια έλαια, πλούσια σε θειούχες ενώσεις και άλλες ουσίες, με ευεργετικές επιδράσεις στον οργανισμό. Στις ουσίες αυτές οφείλεται η έντονη οσμή και η χαρακτηριστική γεύση τους.;0,20 €/0,1 κιλό;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/8417511/1.jpg
Δυόσμος Εγχώριος 25g;Ο δυόσμος είναι εξαιρετικά μυρωδάτος και προσθέτει ξεχωριστή γεύση στα φαγητά μας. Περιέχει μέταλλα (ασβέστιο, κάλιο, μαγγάνιο, σίδηρο και μαγνήσιο) και βιταμίνες (Α, Β & C).;1,25 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1158254/1.jpg
Κρεμμύδια Ξερά Ξανθά Εγχώρια;Τα κρεμμύδια, ωμά ή μαγειρεμένα, δίνουν άρωμα και μοναδική γεύση σε κάθε πιάτο μας. Περιέχουν αιθέρια έλαια, είναι πλούσια σε θειούχες ενώσεις και άλλες ουσίες, με ευεργετικές επιδράσεις για τον οργανισμό. Στις ουσίες αυτές οφείλεται η έντονη οσμή και η χαρακτηριστική γεύση τους.;0,48 €/0,5 κιλό;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/4194973/1.jpg
Σκόρδα Εισαγωγής 3τεμ;Τα σκόρδα έχουν πολλές θεραπευτικές και προληπτικές ιδιότητες για την υγεία. Κύριο συστατικό τους είναι η αλλισίνη, η οποία ευθύνεται για τη δυσοσμία τους, δημιουργείται κατά την κοπή, την πολτοποίηση ή μασώντας τα. Καταναλώνονται νωπά ή μαγειρεμένα και αποτελούν βασικό συστατικό σε συνταγές μαγειρικής.;1,20 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1250428/1.jpg
Καρότα Βιολογικά Εγχώρια;Τα καρότα είναι ένα από τα πιο δημοφιλή λαχανικά. Αποτελούν εξαιρετική τροφή για τον οργανισμό, καθώς είναι πλούσια σε βιταμίνες Α και Β. Καταναλώνονται νωπά, σκέτα ή σε σαλάτες, χρησιμοποιούνται για την παρασκευή χυμών αλλά και πολλών συνταγών μαγειρικής.;1,84 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/8241952/1.jpg
Τσιπούρα Καθαρισμένη Ελληνικής Εκτροφής 400g έως 600g;"Η τσιπούρα είναι ένα ψάρι πλούσιο σε γεύση με υψηλή διατροφική αξία, ιδανικό για grill ή barbeque
 Συνδυάστε μια τσιπούρα με μια πλούσια σάλτσα έξτρα παρθένου ελαιόλαδου και λεμονιού και απολαύστε τη συνοδεία μιας πράσινης σαλάτας.";5,40 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/41/files/ProductMedia/Products/1275022/1.jpg
Λαβράκι Καθαρισμένο Ελληνικής Εκτροφής 400g έως 600g;Το λαβράκι είναι ψάρι της οικογένειας των Μορονίδων, που συναντάται στη Μεσόγειο και στις ακτές του βορειοανατολικού Ατλαντικού. Μαζί με την τσιπούρα από πλευράς διατροφικής αξίας ανήκουν στα περιζήτητα ψάρια της Μεσογείου, καθώς είναι πλούσια στα λιπαρά οξέα ω-3.;4,64 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/41/files/ProductMedia/Products/1230383/1.jpg
Σολομός Φιλέτο με δέρμα Εκτροφής Νορβηγίας;"Ο σολομός είναι ένα ψάρι με υψηλή περιεκτικότητα σε λιπαρά, που αποτελεί μια καλή πηγή ωμέγα-3 λιπαρών οξέων.
 Έχει πολύ χαμηλή περιεκτικότητα σε κορεσμένα λιπαρά και είναι επίσης καλή πηγή πρωτεϊνών. Ακόμα είναι μια από τις καλύτερες πηγές βιταμίνης Β12 ενώ επίσης περιέχει σε μεγάλο βαθμό κάλιο και άλλα θρεπτικά συστατικά όπως ο σίδηρος και η βιταμίνη D.";7,97 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1228680/1.jpeg
Σολομός Φέτα Νορβηγικής Εκτροφής;"Ο σολομός είναι ένα ψάρι με υψηλή περιεκτικότητα σε λιπαρά, που αποτελεί μια καλή πηγή ωμέγα-3 λιπαρών οξέων.
 Έχει πολύ χαμηλή περιεκτικότητα σε κορεσμένα λιπαρά και είναι επίσης καλή πηγή πρωτεϊνών. Ακόμα είναι μια από τις καλύτερες πηγές βιταμίνης Β12 ενώ επίσης περιέχει σε μεγάλο βαθμό κάλιο και άλλα θρεπτικά συστατικά όπως ο σίδηρος και η βιταμίνη D.";5,97 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1228682/1.jpeg
